task_id,domain,task_description,attachment_count,attachment_total_bytes,attachment_total_mb,largest_attachment_bytes,criterion_count,primary_criteria_count,secondary_criteria_count,hours_estimate,value_low_usd,value_base_usd,value_high_usd,notes
1415,Medicine,"A 45-year-old man presents with 4 weeks of non-bloody, watery diarrhea, occurring 4 to 5 times daily. He reports that the diarrhea started after returning from a business trip to Mexico. He has also been experiencing a significant amount of work-related stress since the business trip and feels increasingly more anxious, which he believes has made his diarrhea worse. As a teenager, he sometimes experienced diarrhea with anxiety. He reports associated mild abdominal cramping without fever or weight loss. He denies nocturnal symptoms. He takes levothyroxine for hypothyroidism due to Hashimoto's thyroiditis and denies recent antibiotic use. He is wondering about management options to alleviate his symptoms. He has been following a lactose-free diet. Please further refer to the attached document (Patient Infor.pdf) to answer the following questions: What is the most appropriate immediate next step in the patient's management and why?",1,50141,0.047818,50141,16,16,0,3.50,350.00,525.00,875.00,
1426,Medicine,"A 32-year-old woman from Puerto Rico with a history of systemic lupus erythematosus (previously treated with hydroxychloroquine) presents to the emergency department complaining of diarrhea. She was recently admitted to the hospital for a lupus flare, characterized by diffuse arthralgias, bilateral palmar rash, and worsening renal function. She was treated with intravenous methylprednisolone and cyclophosphamide due to concern for lupus nephritis. She was discharged with a prednisone taper and a plan to continue cyclophosphamide infusions. Creatinine at the time of discharge was 2.10. Upon presentation to the emergency department one week later, she reports several days of watery diarrhea, occurring up to four times daily. She denies recent unusual food intake or contact with individuals exhibiting similar symptoms. She also reports mild peri-umbilical pain and mild nausea without vomiting. She is unaware of any blood in her stool or black, tarry stools. Review of systems reveals joint pain in the wrists (which has improved since her previous hospitalization), dry cough, malaise, generalized urticaria, and headache. Please refer to the attachment (Patient Case Task 1426.pdf) for further information about the patient case to answer the following questions: What is the most likely cause of this patient’s symptoms? Please provide clinical reasoning to support this diagnosis.",1,37521,0.035783,37521,14,14,0,3.50,350.00,525.00,875.00,
1431,Medicine,"Note: Please refer to the attached document, Patient info for task 1431.pdf to answer this task. A 14-year-old teen presents to the clinic for obesity follow-up. According to her mother, she has always been overweight. Her mother does not allow snacks and soda at home and prepares family meals for breakfast and lunch. She is unsure of the teen's eating habits while at school. The teen states that she tries to eat healthy, but does eat some pizza. She also likes to drink Coke. She has at least one soda a day, but has cut back since last visit. She presents her food diary and it is reviewed. This family no longer has insurance and mom is already concerned about today's visit bill. Luckily, the teen has already been tested for diabetes and had normal results. When you discuss the need for further lab work, mom states they cannot afford it. What three things in her presentation can predict the risk of CVD events in an adolescent just as well as a lipid panel? Discuss clinical reasoning.",1,38066,0.036303,38066,17,17,0,3.50,350.00,525.00,875.00,
1436,Medicine,"Note: refer to the attached General Practitioner (GP) home visit document for the following task. Based on the GP home visit report, give the most likely diagnosis in this case with justification.",1,44749,0.042676,44749,11,11,0,3.50,350.00,525.00,875.00,
1439,Medicine,"A 7-year-old male with asthma comes to the clinic to recheck his asthma. Please refer to History details.pdf for further details on the patient's history. What is the likely reason for the patient's poor asthma control? What is the most optimal option in this situation? Provide the rationale. Based on the answer above, propose an asthma action plan for the patient with a specific focus on the inhaled medications to be taken in the green and yellow zones.",1,24605,0.023465,24605,25,23,2,3.50,350.00,525.00,875.00,
1452,Medicine,"A 37-year-old farmer presents to the clinic for management of seborrheic dermatitis. For the past 3 months, he has experienced significant scalp itch. He has tried several over-the-counter anti-dandruff shampoos without success. His family physician prescribed Nizoral shampoo daily, which he used for a few weeks but discontinued because it caused his scalp to become drier and itchier. Currently, he is using betamethasone valerate 0.1% scalp lotion, which provides relief during use, but the rash recurs after stopping. On review of systems, he mentions that he is a smoker and is currently being investigated for suspected COPD due to a persistent cough and shortness of breath. He has also been taking ibuprofen and acetaminophen frequently for joint pain and his antihistamines for allergic rhinitis. Please refer to the attachment (Patient info.pdf) for further patient information to answer the following questions: What is the diagnosis that best fits this patient's case? Justify your reasoning. List at least three expected findings on the skin biopsy of the patient's scalp.",1,43151,0.041152,43151,9,8,1,3.50,350.00,525.00,875.00,
1476,Medicine,"An 8-year-old female presents to a pediatric clinic with concerns of a possible UTI. Her symptoms include pain on urination for 2 days and frequent urination without fever, vomiting, abdominal pain or blood in the urine. There are no other concerns. This is her first visit to the clinic, and she is here with her aunt. The front desk sends you a message to notify you that her aunt does not have consent from the child’s legal guardian authorizing the visit. Questions: How should the pediatrician categorize the care the patient is seeking in determining whether or not to provide care to this patient? Please explain your reasoning. Based on the above history and the message from the front desk (attached in Patient history.pdf), may care be denied to the patient? Assuming the aunt's identity has been verified, how may the practice mitigate the risks posed by this situation?",1,12839,0.012244,12839,22,22,0,3.50,350.00,525.00,875.00,
1477,Medicine,"Hematoxylin and Eosin (H&E) sections of a brain tumour from a 48-year-old man are submitted for pathological examination. The patient presents with a 5-year history of seizures. MRI brain revealed a left temporal subcortical T2-high, T1-low lesion. Microscopic findings are described in the attached document. Please describe the most likely diagnosis and the expected immunoprofile.",1,12415,0.01184,12415,25,17,8,3.50,350.00,525.00,875.00,
1481,Medicine,"A CSF sample is sent to you from a 59-year-old man with a 4-month history of metastatic lung adenocarcinoma. The patient presented with a 3-day history of headache. On examination there was papilledema. There was no leptomeningeal enhancement on MRI; however, subacute right thalamic stroke was evident. The clinical impression was infection or malignant meningitis. The patient has been started on IV broad spectrum antibiotics. The attached document 'Patient_C.pdf' describes the cytological findings. The attached document 'Patient_C_biopsy.pdf describes the histology findings from the initial biopsy. Accounting for the clinical context, please state the two most likely neuropathological differential diagnoses. Briefly outline your clinical reasoning. What immunocytochemical stains are required to narrow this differential diagnosis?",2,28161,0.026856,15364,21,19,2,3.50,350.00,525.00,875.00,
1494,Medicine,"A 45-year-old male with psoriasis was getting a knee injection at his orthopedic office. He was noted to have scaly plaques on his knees and was referred back to his primary doctor to further evaluate. Please refer to additional information in the attached Document A.pdf to answer the following questions. What two tests should the doctor order to confirm the most likely diagnosis? Briefly explain your reasoning. Based on the patient’s clinical presentation and most probable diagnosis, how should the physician counsel him on next steps?",1,217873,0.20778,217873,19,18,1,3.50,350.00,525.00,875.00,
1495,Medicine,A 5-year-old previously healthy male is admitted to the hospital. Labs showed elevated DHEAS. Imaging confirmed the diagnosis. Please refer to the attachment (Attachment 1495.pdf) for further information to answer the question below: What are the stages of this disease according to the Children's Oncology Group (COG)?,1,32435,0.030932,32435,20,13,7,3.50,350.00,525.00,875.00,
1501,Medicine,"A 58‑year‑old woman with invasive ductal carcinoma of the right breast undergoes planned breast‑conserving surgery (lumpectomy). Pre-operative imaging demonstrates a 1.8 cm lesion without axillary node involvement. She is highly motivated to preserve breast tissue and avoid a second surgery. Please refer to the attached file for the physical exam and lab results associated with this case. After standard lumpectomy, intraoperative frozen sectioning cannot reliably confirm margin status, and the surgical team desires an approach that ensures complete tumor removal in a single procedure without relying on delayed pathology results. What is the best adjunctive intraoperative imaging therapy to optimize surgical completeness and reduce the likelihood of re‑excision? What is the dosing and timing required? Explain your reasoning.",1,56182,0.053579,56182,16,11,5,3.50,350.00,525.00,875.00,
1508,Medicine,"A 30-year-old female is brought in by paramedics for a suicide attempt. What blood test should be checked that is a highly accurate predictor of death, having been shown to be seen almost exclusively in non-survivors compared to survivors? Provide a brief explanation. Use the attached patient chart.",1,67066,0.063959,67066,9,9,0,3.50,350.00,525.00,875.00,
1513,Medicine,"Note: For the following clinical scenario, refer to the latest and most appropriate clinical practice guidelines as of October 2025. A 3-month-old male infant presents to the emergency room with his parents, who are concerned about an altered consciousness. The mother states that she was about to put him down for a nap when she noticed he suddenly went limp, turned blue, and stopped breathing. She called the father for help while trying to revive him. She attempted CPR by shaking him and providing rescue breaths through the mouth and nose. During the episode, she also suctioned some milky discharge from his nose and mouth. The father called 911 while she was performing these actions. After approximately 40-50 seconds, he regained consciousness and started crying. His color and muscle strength returned to normal. Paramedics arrived, evaluated him, and recommended that the parents bring him to the emergency room for further assessment. Refer to the attachment (patient info.pdf) for further information. He was diagnosed with a brief unexplained event (BRUE) in the emergency room and discharged home. Given the patient's full clinical presentation, to what extent is the diagnosis accurate? Briefly explain your clinical reasoning. What is next best step in the management of this patient?",1,35848,0.034187,35848,17,14,3,3.50,350.00,525.00,875.00,
1555,Medicine,"Charles is a 63-year-old man with a past medical history of hypertension, type 2 diabetes, and hyperlipidemia who presents to his primary care doctor for continued bilateral ear discomfort. The patient was initially seen about 2 weeks ago after flying home from a trip to Barbados with a 3-day history of bilateral ear pain and drainage from the ear canals. On exam, bilateral tympanic membranes were intact, and white mucus was present in both ear canals. The patient was diagnosed with acute otitis externa, underwent bilateral ear lavage in-office, and was sent home with ofloxacin topical solution. The patient reported some immediate relief after the lavage; however, he messaged his doctor 5 days later, reporting increased pain and white drainage from the ears. He returned for another in-office lavage and was started on oral therapy with ciprofloxacin, given the failure of topical management. The patient follows up again 5 days later and reports worsening bilateral ear pain and irritation that are keeping him up at night. Refer to the attached document (1555 Patient Information (2).pdf) for additional patient information for this visit. Identify the most likely etiology of the patient's persistent symptoms and provide the clinical rationale, including at least 3 risk factors for this condition. What diagnostic test should be performed at this time to confirm the suspected etiology?",1,32021,0.030538,32021,23,20,3,3.50,350.00,525.00,875.00,
